frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,study
1.0,299.792458,-239165.09765331342,1039159.9398595993,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,1.0717504050116986,0.5236020990524712,0.46882921320052534,0.007568687747003422,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.025,292.4804468292683,-238557.55293762073,1011239.2201274182,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.456220427993685,0.5011353648767214,0.4917017148820857,0.007162920241192916,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.05,285.51662666666664,-237938.2007124529,984599.1986667592,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4454362510005012,0.4786441622430644,0.514663628421241,0.006692209335694588,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.075,278.8767051162791,-237307.24863009845,959151.363723466,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.44925990398041904,0.4552133378199437,0.5391016053149719,0.00568505686508447,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.1,272.53859818181814,-236664.90650289366,934815.25859854,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4494637419702485,0.43170559580939305,0.5616952206859089,0.006599183504698014,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.125,266.4821848888889,-236011.38614454537,911517.5860291726,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.6951339039951563,0.4078114128790472,0.5874525081438927,0.004736078977060076,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.15,260.6890939130435,-235346.90121212808,889191.4293921931,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4520499510108493,0.3830732362943832,0.6133935541312541,0.003533209574362761,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.175,255.1425174468085,-234671.66704894937,867775.5733315645,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4478905199794099,0.3583517696836184,0.6407311171174425,0.0009171131989390569,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.2,249.82704833333335,-233985.90052846883,847213.9093112565,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.43933306902181357,0.3327574539288868,0.6679233095184434,-0.000680763447330146,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.225,244.72853714285714,-233289.8198994522,827454.9139619415,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.44375037896679714,0.30692771865383084,0.6976727865845918,-0.004600505238422592,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
