frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,4,4,81,162,256,256,redheffer,matched-asr,False,outer,2.4139135220029857,0.340182437534222,0.6219119413568873,0.03790562110889073,False,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,6,6,169,338,256,256,redheffer,matched-asr,False,outer,0.18213085299066734,0.25592813309838147,0.745589902793983,-0.0015180358923644333,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,8,8,289,578,256,256,redheffer,matched-asr,False,outer,0.6121430119965225,0.08491265924314832,0.9549274332469351,-0.039840092490083356,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,10,10,441,882,256,256,redheffer,matched-asr,False,outer,0.9770690709992778,0.5610664417819352,0.6607915993564536,-0.2218580411383888,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,12,12,625,1250,256,256,redheffer,matched-asr,False,outer,2.0201517819950823,1.0201761111580894,0.010795528303642825,-0.030971639461732196,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,14,14,841,1682,256,256,redheffer,matched-asr,False,outer,4.0787088079960085,1.0005312324702658,0.05623750206229905,-0.05676873453256481,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,16,16,1089,2178,256,256,redheffer,matched-asr,False,outer,6.241024996008491,0.9045883386106276,1.4356433046627843e-05,0.09539730495632577,False,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,18,18,1369,2738,256,256,redheffer,matched-asr,False,outer,11.294870069003082,0.7167073645496354,6.731406853752497e-06,0.2832859040435109,False,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,20,20,1681,3362,256,256,redheffer,matched-asr,False,outer,20.60280722999596,1.526540012992383,2.1406163044682378e-05,-0.5265614191554276,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,22,22,2025,4050,256,256,redheffer,matched-asr,False,outer,36.42733707600564,1.2624385450274074,3.505233942772337e-05,-0.2624735973668351,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,23,23,2209,4418,256,256,redheffer,matched-asr,False,outer,48.828994144001626,0.8977415857502976,2.8612661390134447e-06,0.10225555298356337,False,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,24,24,2401,4802,256,256,redheffer,matched-asr,False,outer,67.14663391999784,1.001188698468268,8.587061108828832e-05,-0.0012745690793563673,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,26,26,2809,5618,256,256,redheffer,matched-asr,False,outer,132.40146188299695,1.0216323685065665,0.00010134439031971182,-0.02173371289688618,True,,False,,,matched-asr-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,convergence
