frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,4,4,81,162,256,256,redheffer,matched-nvm,False,outer,0.633478998002829,0.4740299162928033,0.19982454374752653,0.3261455399596702,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,6,6,169,338,256,256,redheffer,matched-nvm,False,outer,0.12892709198058583,0.6851917066785839,0.2394935705474652,0.07531472277395093,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,8,8,289,578,256,256,redheffer,matched-nvm,False,outer,0.5432709650194738,0.7686578268099487,1.1866010649551362,-0.9552588917650848,True,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,10,10,441,882,256,256,redheffer,matched-nvm,False,outer,0.8332340359920636,1.053092238107986,0.000196434703499194,-0.053288672811485104,True,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,12,12,625,1250,256,256,redheffer,matched-nvm,False,outer,1.8574793199950363,0.8234145879620528,1.4567814794249385e-08,0.1765853974701324,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,14,14,841,1682,256,256,redheffer,matched-nvm,False,outer,3.6996001029910985,0.9970840802609096,4.8851195236218e-09,0.002915914853970921,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,16,16,1089,2178,256,256,redheffer,matched-nvm,False,outer,5.976577399997041,0.9518372878786615,3.984917814041786e-07,0.048162313629557085,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,18,18,1369,2738,256,256,redheffer,matched-nvm,False,outer,9.74329303301056,0.8827835269737947,1.870867127747282e-06,0.11721460215907756,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,20,20,1681,3362,256,256,redheffer,matched-nvm,False,outer,17.774575984018156,1.1826126838808444,1.4117866128474787e-05,-0.18262680174697288,True,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,22,22,2025,4050,256,256,redheffer,matched-nvm,False,outer,31.316925125021953,1.212931126218531,2.5782243167541822e-05,-0.21295690846169849,True,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,23,23,2209,4418,256,256,redheffer,matched-nvm,False,outer,42.31173563899938,1.0098606498271985,7.054987504124301e-07,-0.009861355325948888,True,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,24,24,2401,4802,256,256,redheffer,matched-nvm,False,outer,60.21997156299767,10.219275419202562,1.1998144230492075e-05,-9.219287417346793,True,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,26,26,2809,5618,256,256,redheffer,matched-nvm,False,outer,116.50609982799506,0.425964496902125,0.0010076077793880855,0.5730278953184869,False,,False,,,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-normal-tangential,convergence
