frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,4,4,81,162,256,256,redheffer,matched-nvm,False,double,1.4421442569873761,0.02275811212633205,1.5266404571519736,-0.5493985692783057,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,6,6,169,338,256,256,redheffer,matched-nvm,False,double,0.14223584497813135,0.5502053415852166,0.12659006507412343,0.32320459334066,False,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,8,8,289,578,256,256,redheffer,matched-nvm,False,double,1.4035094100108836,2.731463990985719,1.3432736551892699,-3.074737646174989,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,10,10,441,882,256,256,redheffer,matched-nvm,False,double,0.8289148299954832,0.10601016718359849,0.8701246250718359,0.023865207744565686,False,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,12,12,625,1250,256,256,redheffer,matched-nvm,False,double,1.7899593469919637,0.05109369473580725,1.1085836449039266,-0.15967733963973385,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,14,14,841,1682,256,256,redheffer,matched-nvm,False,double,3.8603407419868745,0.26119568210165417,0.5703207117819841,0.16848360611636182,False,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,16,16,1089,2178,256,256,redheffer,matched-nvm,False,double,6.343866128998343,0.08264716275131138,0.9713419756815775,-0.053989138432888883,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,18,18,1369,2738,256,256,redheffer,matched-nvm,False,double,10.64324197699898,0.5252289817842324,1.5757670755466855,-1.1009960573309179,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,20,20,1681,3362,256,256,redheffer,matched-nvm,False,double,19.996819917985704,0.7402421267525466,0.6233795094365056,-0.3636216361890522,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,22,22,2025,4050,256,256,redheffer,matched-nvm,False,double,36.10964332398726,16.900654420053634,0.6387843582220748,-16.53943877827571,True,,False,,,auto,matched-asr-nvm-primitive,square,62.0,62.0,1,matched-ASR-generalized-Li-NVM,generalized-li-epsilon+weiss-symmetric-mu,0.03034991003748236,0.03,convergence
