frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.0,299.792458,-239165.09765331342,1039159.9398595993,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,41.531377131992485,0.5774626291292142,0.4089908371907021,0.013546533680083683,False,3281,True,c2v,,7.987859122271505e-09,9.707478212883119e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.025,292.4804468292683,-238557.55293762073,1011239.2201274182,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,29.376410554003087,0.5611102451252317,0.423773614718899,0.015116140155869318,False,3281,True,c2v,,7.863918060366907e-09,8.238366202409942e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.05,285.51662666666664,-237938.2007124529,984599.1986667592,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.89055875300255,0.5446546876040129,0.43866184811200404,0.01668346428398304,False,3281,True,c2v,,7.520776415333032e-09,8.717357834053475e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.075,278.8767051162791,-237307.24863009845,959151.363723466,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,29.127970386995003,0.5282022502176031,0.4537592300384721,0.018038519743924786,False,3281,True,c2v,,7.45545478485925e-09,8.574222605704633e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.1,272.53859818181814,-236664.90650289366,934815.25859854,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.73598936900089,0.5118440928918356,0.4690911187304953,0.019064788377669062,False,3281,True,c2v,,7.2391036879659575e-09,8.368150223864156e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.125,266.4821848888889,-236011.38614454537,911517.5860291726,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,29.147682741007884,0.4956245485043038,0.48463676445579734,0.01973868703989884,False,3281,True,c2v,,6.934986987780279e-09,8.828753002464959e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.15,260.6890939130435,-235346.90121212808,889191.4293921931,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.953392893992714,0.4795460299637427,0.5003556647233142,0.02009830531294321,False,3281,True,c2v,,6.8860316166755796e-09,7.92610151461311e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.175,255.1425174468085,-234671.66704894937,867775.5733315645,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.42287563800346,0.46359141391174274,0.5161958354200978,0.020212750668159418,False,3281,True,c2v,,6.683913666529765e-09,7.918735423035881e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.2,249.82704833333335,-233985.90052846883,847213.9093112565,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.881677969009615,0.4477451710435715,0.5320951760583883,0.020159652898040226,False,3281,True,c2v,,6.429442093942832e-09,7.856377133909952e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.225,244.72853714285714,-233289.8198994522,827454.9139619415,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,25.931046283003525,0.43200482437408616,0.5479849906586179,0.020010184967295896,False,3281,True,c2v,,6.312665399759233e-09,8.184726566469996e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.25,239.8339664,-232583.64463253354,808451.1900309843,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.361122628004523,0.41638280257113164,0.5637959350791144,0.01982126234975401,False,3281,True,c2v,,6.20998957406054e-09,7.725274158105557e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.275,235.13133960784316,-231867.5952683545,790159.0613436879,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.944339458001195,0.40090304947230304,0.5794631697018559,0.019633780825841107,False,3281,True,c2v,,6.201375546421924e-09,7.98052977583023e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.3,230.6095830769231,-231141.8932674414,772538.2145055892,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,29.40079220100597,0.38559650925072525,0.5949289917176248,0.019474499031649994,False,3281,True,c2v,,5.992088867073439e-09,7.793402564279896e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.325,226.25845886792453,-230406.76086197453,755551.3811729642,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.8459399479907,0.37049762832038624,0.6101433137415166,0.019359057938097113,False,3281,True,c2v,,5.960392049654125e-09,7.864336867500827e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
