frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,4,4,81,162,256,256,redheffer,nvm,False,outer,12.84474556198984,0.1299317524770195,0.8005331877383713,0.06953505978460917,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,6,6,169,338,256,256,redheffer,nvm,False,outer,0.13669955400109757,0.11695926111414025,0.8851858304687761,-0.002145091582916314,True,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,8,8,289,578,256,256,redheffer,nvm,False,outer,0.5583028219989501,0.1098060359657236,0.8527223783268775,0.03747158570739895,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,10,10,441,882,256,256,redheffer,nvm,False,outer,0.8655506840004819,0.21799364491928916,0.5952105828210729,0.18679577225963795,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,12,12,625,1250,256,256,redheffer,nvm,False,outer,1.8509514990000753,0.18610872098464104,0.6341368221615677,0.1797544568537912,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,14,14,841,1682,256,256,redheffer,nvm,False,outer,3.9309383720101323,0.13488669834840478,0.7895137024971267,0.07559959915446857,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,16,16,1089,2178,256,256,redheffer,nvm,False,outer,6.51375388399174,0.12281410937985451,0.8254288606933935,0.05175702992675202,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,18,18,1369,2738,256,256,redheffer,nvm,False,outer,10.823857320996467,0.10908851485145679,0.8776750479370177,0.013236437211525565,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,20,20,1681,3362,256,256,redheffer,nvm,False,outer,20.31439501499699,0.10570108265945928,0.8868048394475071,0.007494077893033579,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,22,22,2025,4050,256,256,redheffer,nvm,False,outer,36.292988430999685,0.12182341656715918,0.9075263824140121,-0.029349798981171293,True,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,23,23,2209,4418,256,256,redheffer,nvm,False,outer,48.776418510999065,0.10545775867513997,0.8902787978972304,0.004263443427629632,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,24,24,2401,4802,256,256,redheffer,nvm,False,outer,67.68285312400258,0.1058250169865915,0.8889117734927067,0.005263209520701806,False,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,26,26,2809,5618,256,256,redheffer,nvm,False,outer,131.66526197100757,0.10685154798914523,0.8945298958096991,-0.0013814437988443062,True,,False,,,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,convergence
