frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,staircase_grid,asr_interval_allocation,nv_boundary_samples,nv_neighbors,nv_power,nv_coordinate_rule,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,4,4,81,162,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,1.05314087800798,0.1383235794912471,0.8590733295462096,0.0026030909625432974,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,6,6,169,338,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,0.13548323200666346,0.4385622385777354,0.7684264067122977,-0.20698864529003314,True,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,8,8,289,578,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,0.54326036600105,0.3480339305002915,0.5715057520324802,0.08046031746722826,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,10,10,441,882,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,0.7895958379958756,0.35238503131364857,0.942232345010852,-0.29461737632450047,True,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,12,12,625,1250,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,1.9062905080063501,0.371298893976962,0.5288524304339747,0.09984867558906341,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,14,14,841,1682,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,3.705157192001934,0.30663307880654966,0.6624499545310137,0.030916966662436596,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,16,16,1089,2178,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,5.994827954011271,0.5200850937963641,0.5671420630054891,-0.08722715680185322,True,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,18,18,1369,2738,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,10.975692742998945,0.363499573801701,0.5932811809005964,0.04321924529770249,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,20,20,1681,3362,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,19.84038904600311,0.3042502052692089,0.5624098821400793,0.13333991259071187,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,22,22,2025,4050,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,34.968574811005965,0.3708737779297126,0.3411750499785064,0.28795117209178095,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,23,23,2209,4418,256,256,redheffer,paper-asr-nv,False,,64,cube-root,256,16,2.0,paper-disclosed,47.4229168479942,0.4371477694630755,0.5085581403492411,0.0542940901876835,False,,False,,,,,,auto,peng-stepped-asr-nv-primitive,square,62.0,62.0,1,Peng-Eq7-stepped-ASR+Eq8-10-IDW-NV,peng-eq7-asr+eq8-10-nv-idw-paper-disclosed,1.0000000000002238e-06,,convergence
