method,frequency_GHz,order,harmonics,modal_dimension,factorization,fourier_coefficients,grid,quadrature_grid,asr_G,cascade,R00,T00,R_total,T_total,A_total,power_balance,passivity_violation,abs_error_R,abs_error_T,successive_delta_R,successive_delta_T,elapsed_s,device,dtype,revision
ASR-FR,6.0,1,9,18,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,2.4792211701673846e-05,0.9999749152281999,2.4792211701673846e-05,0.9999749152281999,2.92560098369421e-07,0.9999997074399016,0.0,0.12063698009236427,0.12721623129123816,,,9.462431328021921,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,2,25,50,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.005923697010396372,0.9940083851947318,0.005923697010396372,0.9940083851947318,6.791779487180793e-05,0.9999320822051282,0.0,0.11473807529366958,0.12124970125777002,0.005898904798694698,0.005966530033468143,0.2528563140076585,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,3,49,98,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.08770824341853124,0.9108000181750302,0.08770824341853124,0.9108000181750302,0.0014917384064385697,0.9985082615935614,0.0,0.03295352888553471,0.038041334238068436,0.08178454640813487,0.08320836701970158,0.15540262998547405,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,4,81,162,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.0790732118240779,0.8906382958468375,0.0790732118240779,0.8906382958468375,0.030288492329084593,0.9697115076709154,0.0,0.04158856047998806,0.017879611909875748,0.008635031594453349,0.02016172232819269,0.0935699119581841,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,5,121,242,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.12138135961674248,0.8742159106396767,0.12138135961674248,0.8742159106396767,0.004402729743580802,0.9955972702564192,0.0,0.0007195873126765312,0.0014572267027149755,0.04230814779266459,0.016422385207160772,0.07513227197341621,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,6,169,338,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.12270691644059668,0.873297684689314,0.12270691644059668,0.873297684689314,0.003995398870089262,0.9960046011299107,0.0,0.00204514413653073,0.0005390007523522478,0.0013255568238541987,0.0009182259503627277,0.11858209100319073,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,8,289,578,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.12066177230406595,0.8727586839369618,0.12066177230406595,0.8727586839369618,0.006579543758972295,0.9934204562410277,0.0,0.0,0.0,0.00204514413653073,0.0005390007523522478,1.0292203369899653,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,10,441,882,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.12148060819007164,0.874500283502124,0.12148060819007164,0.874500283502124,0.0040191083078042755,0.9959808916921957,0.0,0.0008188358860056894,0.0017415995651622884,0.0008188358860056894,0.0017415995651622884,0.7865395030239597,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
ASR-FR,6.0,12,625,1250,ASR mixed inverse/direct rule,ASR separable quadrature,256,4096,0.001,redheffer,0.12151379550831459,0.8732631999977357,0.12151379550831459,0.8732631999977357,0.0052230044939496345,0.9947769955060504,0.0,0.0008520232042486392,0.0005045160607739518,3.318731824294985e-05,0.0012370835043883366,1.779713901982177,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,1,9,18,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,8.95469976400319e-06,0.9999909260349177,8.95469976400319e-06,0.9999909260349177,1.192653182879866e-07,0.9999998807346817,0.0,0.12065281760430195,0.12723224209795592,,,9.73664184100926,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,2,25,50,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.002227166610946055,0.9977382139191625,0.002227166610946055,0.9977382139191625,3.4619469891472576e-05,0.9999653805301085,0.0,0.1184346056931199,0.12497952998220074,0.002218211911182052,0.0022527121157551733,0.283552766952198,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,3,49,98,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.03361839529986352,0.9656931290385918,0.03361839529986352,0.9656931290385918,0.0006884756615446186,0.9993115243384554,0.0,0.08704337700420244,0.09293444510163007,0.031391228688917465,0.03204508488057067,0.20400420803343877,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,4,81,162,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.03698740954402819,0.9586906443598203,0.03698740954402819,0.9586906443598203,0.004321946096151441,0.9956780539038486,0.0,0.08367436276003776,0.08593196042285856,0.003369014244164671,0.0070024846787715145,0.17908199998782948,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,5,121,242,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.05942909178641979,0.9350911823404556,0.05942909178641979,0.9350911823404556,0.005479725873124619,0.9945202741268754,0.0,0.06123268051764617,0.06233249840349386,0.022441682242391597,0.023599462019364692,0.11953049898147583,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,6,169,338,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.061156987709869194,0.9330824025258477,0.061156987709869194,0.9330824025258477,0.005760609764283053,0.994239390235717,0.0,0.05950478459419676,0.060323718588885966,0.0017278959234494073,0.0020087798146078972,0.12411076598800719,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,8,289,578,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.07580436545679951,0.9176986795619265,0.07580436545679951,0.9176986795619265,0.006496954981274006,0.993503045018726,0.0,0.04485740684726644,0.04493999562496476,0.01464737774693032,0.01538372296392121,0.7094800940249115,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
Cartesian-Li,6.0,10,441,882,Cartesian x-Toeplitz inverse/y-BTTB Li rule,analytic centered rectangle,256,0,0.001,redheffer,0.08517631760853447,0.9079427368454525,0.08517631760853447,0.9079427368454525,0.00688094554601304,0.993119054453987,0.0,0.03548545469553148,0.03518405290849069,0.00937195215173496,0.009755942716474064,1.096354979032185,cuda,complex128,wang2022-asr-fr-vs-cartesian-li-v1
