study,method,factorization_rules,frequency_GHz,wavelength_mm,order_x,order_y,harmonics,modal_dimension,grid_x,grid_y,quadrature_grid,asr_G,cascade,dtype,device,propagating_orders_air,R00,T00,R_total,T_total,delta_R,delta_T,A_total,power_balance,passivity_violation,cond_T,elapsed_s,numerics_revision
fig8,ASR,False,2.0,149.896229,20,20,1681,3362,256,256,4096,0.001,redheffer,complex128,cuda,1,0.00022843634923915446,0.9886412362225157,0.00022843634923915446,0.9886412362225157,0.0,0.0,0.011130327428245157,0.9888696725717548,0.0,7596580007.70296,3.1068663490004838,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.0,149.896229,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.00793474436018047,0.9905539248871974,0.00793474436018047,0.9905539248871974,0.0,0.0,0.0015113307526221087,0.9984886692473779,0.0,,0.6774818899575621,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.0,149.896229,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.007934744360179923,0.9905539248871967,0.007934744360179923,0.9905539248871967,0.0,0.0,0.00151133075262333,0.9984886692473767,0.0,,1.220717002172023,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.16,138.79280462962961,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.00931378949579582,0.9890825764071907,0.00931378949579582,0.9890825764071907,0.0,0.0,0.0016036340970134733,0.9983963659029865,0.0,,0.16491198004223406,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.32,129.22088706896554,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.010831808629272195,0.9875515143915402,0.010831808629272195,0.9875515143915402,0.0,0.0,0.001616676979187548,0.9983833230208125,0.0,,0.16412801016122103,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.48,120.8840556451613,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.012497700629908529,0.9858979719065134,0.012497700629908529,0.9858979719065134,0.0,0.0,0.0016043274635780813,0.9983956725364219,0.0,,0.1646149130538106,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.5,119.9169832,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.012716696821230158,0.9856806913182369,0.012716696821230158,0.9856806913182369,0.0,0.0,0.0016026118605330097,0.998397388139467,0.0,,0.1549641180317849,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.64,113.55774924242424,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.014318790301666481,0.9840872781391495,0.014318790301666481,0.9840872781391495,0.0,0.0,0.0015939315591839698,0.998406068440816,0.0,,0.1656959899701178,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.8,107.068735,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.016303084159047545,0.9821022087207802,0.016303084159047545,0.9821022087207802,0.0,0.0,0.0015947071201721785,0.9984052928798278,0.0,,0.16914062318392098,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,2.96,101.28123581081081,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.018459992025791704,0.9799317584508807,0.018459992025791704,0.9799317584508807,0.0,0.0,0.0016082495233276095,0.9983917504766724,0.0,,0.16493610595352948,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.0,99.93081933333333,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.0190274397868469,0.9793590114639317,0.0190274397868469,0.9793590114639317,0.0,0.0,0.0016135487492214828,0.9983864512507785,0.0,,0.15535936085507274,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.12,96.08732628205128,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.020800477745724414,0.9775658095464198,0.020800477745724414,0.9775658095464198,0.0,0.0,0.0016337127078557279,0.9983662872921443,0.0,,0.16571017098613083,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.2800000000000002,91.40013963414634,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.02333712455722415,0.974993093125705,0.02333712455722415,0.974993093125705,0.0,0.0,0.0016697823170708226,0.9983302176829292,0.0,,0.16364131798036397,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.44,87.14897034883721,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.02608424196602065,0.9722004341990107,0.02608424196602065,0.9722004341990107,0.0,0.0,0.0017153238349686406,0.9982846761650314,0.0,,0.16490053292363882,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.5,85.654988,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.027171915135467493,0.9710934120964911,0.027171915135467493,0.9710934120964911,0.0,0.0,0.001734672768041401,0.9982653272319586,0.0,,0.15478984615765512,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.6,83.27568277777777,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.029058033438151238,0.969172406960034,0.029058033438151238,0.969172406960034,0.0,0.0,0.0017695596018146853,0.9982304403981853,0.0,,0.16369095304980874,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.76,79.73203670212767,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.032276824728031464,0.9658910715366357,0.032276824728031464,0.9658910715366357,0.0,0.0,0.001832103735332824,0.9981678962646672,0.0,,0.16360532399266958,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,3.92,76.47766785714286,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.03576135424792925,0.9623356673822577,0.03576135424792925,0.9623356673822577,0.0,0.0,0.0019029783698130132,0.998097021630187,0.0,,0.16286002192646265,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.0,74.9481145,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.03761049809115232,0.960447832428266,0.03761049809115232,0.960447832428266,0.0,0.0,0.0019416694805816093,0.9980583305194184,0.0,,0.15651793987490237,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.08,73.47854362745097,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.03953513217557399,0.9584822023740879,0.03953513217557399,0.9584822023740879,0.0,0.0,0.0019826654503380947,0.9980173345496619,0.0,,0.1721083198208362,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.24,70.70576839622642,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.04362488072348096,0.9543028826240134,0.04362488072348096,0.9543028826240134,0.0,0.0,0.0020722366525056657,0.9979277633474943,0.0,,0.1627593101002276,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.4,68.13464954545454,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.04806107390492215,0.9497652988946322,0.04806107390492215,0.9497652988946322,0.0,0.0,0.0021736272004455603,0.9978263727995544,0.0,,0.1629048001486808,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.5,66.62054622222223,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.05102491859612819,0.9467306809629092,0.05102491859612819,0.9467306809629092,0.0,0.0,0.002244400440962524,0.9977555995590375,0.0,,0.1537528180051595,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.5600000000000005,65.74396008771929,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.05287860038569666,0.9448312116318119,0.05287860038569666,0.9448312116318119,0.0,0.0,0.002290187982491365,0.9977098120175086,0.0,,0.16355423582717776,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.720000000000001,63.51535127118643,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.05811757182764502,0.9394546116438639,0.05811757182764502,0.9394546116438639,0.0,0.0,0.0024278165284911113,0.9975721834715089,0.0,,0.16309942211955786,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,4.88,61.43288073770492,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.06382426478079772,0.9335783549729203,0.06382426478079772,0.9335783549729203,0.0,0.0,0.0025973802462819773,0.997402619753718,0.0,,0.16218383493833244,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.0,59.9584916,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.06844302702019622,0.9287993118642944,0.06844302702019622,0.9287993118642944,0.0,0.0,0.0027576611155093467,0.9972423388844907,0.0,,0.15537423314526677,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.04,59.48263055555556,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.07005199945402596,0.9271277807034772,0.07005199945402596,0.9271277807034772,0.0,0.0,0.0028202198424968072,0.9971797801575032,0.0,,0.16903718700632453,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.2,57.65239576923077,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.07686089519731068,0.9199977583720725,0.07686089519731068,0.9199977583720725,0.0,0.0,0.0031413464306168093,0.9968586535693832,0.0,,0.17215743311680853,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.359999999999999,55.93142873134329,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.08431146823634407,0.9120274219417307,0.08431146823634407,0.9120274219417307,0.0,0.0,0.003661109821925246,0.9963388901780748,0.0,,0.16867414116859436,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.5,54.50771963636364,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.0913807974812759,0.9041774957947837,0.0913807974812759,0.9041774957947837,0.0,0.0,0.004441706723940397,0.9955582932760596,0.0,,0.15437465184368193,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.52,54.31022789855073,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.09243054623935523,0.9029792282764203,0.09243054623935523,0.9029792282764203,0.0,0.0,0.004590225484224497,0.9954097745157755,0.0,,0.16945994389243424,fig8-v2-q-modes-separable-quadrature
