frequency_THz,T,R,A
241.8545015886,0.9446905710,0.0499229748,0.0058751660
244.2213681208,0.9422470120,0.0518884462,0.0058751660
246.5908045407,0.9397928287,0.0538432935,0.0063638778
249.0758859052,0.9378379814,0.0562974768,0.0063638778
251.4427524375,0.9353944223,0.0582523240,0.0063638778
253.9304036896,0.9324515272,0.0606958831,0.0068525896
256.2972702219,0.9300079681,0.0631500664,0.0068525896
258.6667066418,0.9270650730,0.0660823373,0.0073413015
261.1517880063,0.9241328021,0.0685258964,0.0073413015
263.5212244262,0.9207118194,0.0714687915,0.0078300133
266.0063057906,0.9172802125,0.0748897742,0.0078300133
268.3757422106,0.9138592297,0.0778326693,0.0083187251
270.8608235750,0.9104276228,0.0812536521,0.0088074369
273.2302599949,0.9060185923,0.0851739708,0.0088074369
275.5971265272,0.9021088977,0.0890836653,0.0093067729
278.0847777793,0.8976998672,0.0930039841,0.0097954847
280.4516443116,0.8928021248,0.0974130146,0.0097954847
282.9367256761,0.8879150066,0.1018114210,0.0102841965
285.3061620960,0.8825285525,0.1067091633,0.0107729084
287.6730286282,0.8766533865,0.1120956175,0.0112616202
290.1606798804,0.8707782205,0.1174820717,0.0117503320
292.5275464126,0.8644143426,0.1233466135,0.0122390438
295.0151976648,0.8575617530,0.1297104914,0.0127277556
297.3820641970,0.8502204515,0.1365630810,0.0137051793
299.8697154492,0.8419017264,0.1439150066,0.0141938911
302.2365819814,0.8335830013,0.1517450199,0.0146826029
304.6060184013,0.8242762284,0.1605524568,0.0151713147
307.0910997658,0.8144913679,0.1693598938,0.0161593625
309.4605361857,0.8037184595,0.1796440903,0.0166480744
311.9456175502,0.7924674635,0.1904063745,0.0176254980
314.3150539701,0.7797397078,0.2021567065,0.0186029216
316.8001353346,0.7660345286,0.2148844622,0.0195803453
319.1670018668,0.7508525896,0.2285896414,0.0205577689
321.5364382867,0.7347038513,0.2437609562,0.0220345286
324.0215196512,0.7165896414,0.2603984064,0.0235006640
326.3909560711,0.6970199203,0.2785126162,0.0249667995
328.8760374356,0.6754741036,0.2980929615,0.0269216467
331.2454738555,0.6514953519,0.3201168659,0.0288871182
333.6123403878,0.6255511288,0.3436175299,0.0308419655
336.0999916399,0.5971633466,0.3700504648,0.0332855246
338.4668581722,0.5658432935,0.3989269588,0.0357290837
340.9545094243,0.5310810093,0.4307463479,0.0386719788
343.3213759566,0.4933970784,0.4650092961,0.0416042497
345.8090272087,0.4517928287,0.5031819389,0.0450358566
348.1758937409,0.4072456839,0.5442974768,0.0489455511
350.5453301609,0.3587888446,0.5883559097,0.0528658699
353.0304115253,0.3073891102,0.6353466135,0.0572749004
355.3972780576,0.2540451527,0.6842921647,0.0621620186
357.8849293097,0.1997025232,0.7342151394,0.0665710491
360.2517958420,0.1458592297,0.7831606906,0.0714687915
362.7394470941,0.0959362550,0.8286852590,0.0753784861
365.1088835140,0.0533545817,0.8673572377,0.0792988048
367.4757500463,0.0215458167,0.8967224436,0.0822310757
369.9608314108,0.0044090305,0.9118937583,0.0837078353
372.3302678307,0.0048977424,0.9114050465,0.0841859230
374.8153491951,0.0244780876,0.8928021248,0.0827304117
377.1847856151,0.0631500664,0.8570730412,0.0797875166
379.5516521473,0.1179707835,0.8066613546,0.0758671979
382.0393033994,0.1855192563,0.7444993360,0.0704913679
384.4061699317,0.2608871182,0.6754741036,0.0641274900
386.8912512962,0.3387197875,0.6035272244,0.0577636122
389.2606877161,0.4165524568,0.5325471448,0.0513997344
391.7483389682,0.4904541833,0.4645099602,0.0450358566
394.1152055005,0.5594687915,0.4013705179,0.0396494024
396.4846419204,0.6221301461,0.3441062417,0.0342629482
398.9697232849,0.6779282869,0.2927065073,0.0293758300
401.3391597048,0.7273625498,0.2471925631,0.0254555113
403.8242410693,0.7714209827,0.2075431607,0.0215458167
406.1911076015,0.8095936255,0.1722921647,0.0181142098
408.5605440214,0.8428791501,0.1419495352,0.0151713147
411.0456253859,0.8722549801,0.1150278884,0.0127277556
413.4150618058,0.8976998672,0.0920265604,0.0107729084
415.9001431703,0.9197237716,0.0714687915,0.0088074369
418.2695795902,0.9393041169,0.0538432935,0.0068525896
420.7546609547,0.9564409031,0.0381832669,0.0053864542
423.1240973746,0.9716122178,0.0244780876,0.0039203187
425.4909639068,0.9848286853,0.0127277556,0.0024541833
427.9786151590,0.9931474104,0.0039203187,0.0029428951
430.3454816912,0.8458220452,0.0063638778,0.0019654714
432.8331329434,0.7919787517,0.0117503320,0.0019654714
435.1999994756,0.7567383798,0.0166480744,0.0024541833
437.6850808401,0.7307941567,0.0205577689,0.0029428951
440.0545172600,0.7097370518,0.0244780876,0.0029428951
442.4213837923,0.6926108898,0.0278990704,0.0034316069
444.9090350444,0.6779282869,0.0308419655,0.0034316069
447.2759015767,0.6652005312,0.0337742364,0.0039203187
449.7635528288,0.6544276228,0.0362284197,0.0039203187
452.1304193611,0.6446427623,0.0386719788,0.0044090305
454.4998557810,0.6363240372,0.0406268260,0.0044090305
456.9849371454,0.6284833997,0.0425816733,0.0044090305
459.3543735654,0.6216414343,0.0445471448,0.0048977424
461.8394549298,0.6152775564,0.0460132802,0.0048977424
464.2088913497,0.6094023904,0.0474794157,0.0048977424
466.6939727142,0.6045046481,0.0489455511,0.0053864542
469.0634091341,0.5996069057,0.0504223108,0.0053864542
471.4302756664,0.5952084993,0.0518884462,0.0053864542
473.9153570309,0.5912881806,0.0528658699,0.0053864542
476.2847934508,0.5878671979,0.0538432935,0.0053864542
478.7698748153,0.5849243028,0.0548207171,0.0058751660
481.1393112352,0.5819920319,0.0558087649,0.0058751660
483.6269624873,0.5790491368,0.0567861886,0.0058751660
