mode,kz_real,kz_imag,pq_relative_residual,forward_uv_flux,forward_cartesian_flux
0,5.553369955966755e-16,9.06934139677371,8.445210254045615e-15,-1.7441859842122017e-16,-4.721458129022796e-18
1,5.528751176979622e-16,9.029135879551482,8.70079042088266e-15,-2.1330175614782808e-16,7.759565321549597e-18
2,5.528743874130063e-16,9.029123953093071,7.909599770545343e-15,-1.8331054472695406e-16,5.2422638749477764e-18
3,5.491785732960272e-16,8.968766728143766,7.947320501104738e-15,-1.6017999387640606e-16,5.621820096609292e-18
4,5.443827404501411e-16,8.890444834039684,8.567259899799741e-15,-1.782431037038327e-16,-4.278635661589003e-18
5,5.528751176979583e-16,9.029135879551418,1.0414766178683054e-14,-1.4223503996189627e-16,-4.1699347709699844e-16
6,5.480975092414084e-16,8.951111612311651,9.544200802948818e-15,-2.35438182357744e-16,3.5715847245711755e-18
7,5.480975092414091e-16,8.951111612311664,8.10944784413343e-15,-1.0907025877191359e-16,3.642997584334313e-16
8,5.277020896610932e-16,8.618029133436677,6.613090719020585e-15,-5.722937858870529e-17,-1.4754038546171478e-18
9,2.4482909814376734e-15,8.64274705607994,6.8218643120024524e-15,3.29033488039068e-17,1.7209575397145138e-18
10,5.284921417474371e-16,8.63093166316025,7.352755549416938e-15,-4.4580745968565123e-17,-9.95816828030005e-19
11,2.44128896382747e-15,8.618029133436746,1.3600867259705886e-14,3.229311092056418e-17,9.33693423489336e-19
12,5.062635516261484e-16,8.26791123740541,8.974912715135208e-15,-2.956302375684619e-17,5.5403994159489194e-18
13,5.019631142360891e-16,8.19767976506492,8.99691342086653e-15,-1.87122059911859e-17,6.2960437585139e-18
14,4.993904631727384e-16,8.155665184777089,7.172194545281989e-15,-1.7987433439905515e-17,4.952508032038463e-18
15,5.019631142360878e-16,8.1976797650649,8.592784417203182e-15,-1.6320831613252073e-17,1.0429778211356601e-17
16,4.846220018666322e-16,7.914477908308663,1.9186072124730886e-14,-9.305020384268193e-17,-5.667009912414664e-18
17,4.855044896800315e-16,7.928890028015566,2.1607627624134874e-14,-9.817742694135994e-17,-5.304304483186949e-18
18,4.853948105297434e-16,7.927098831560156,2.0480919382002334e-14,-1.2453650835934132e-16,-1.0572650763296557e-18
19,4.853851432162082e-16,7.926940952348909,1.9102671591763703e-14,-1.1908425359362033e-16,-1.0561918724204747e-18
20,4.849660210880346e-16,7.920096168555486,1.6565487584627424e-14,-1.067501133188421e-16,-4.713288841726973e-18
