mode,kz_real,kz_imag,pq_relative_residual,forward_uv_flux,forward_cartesian_flux
0,-3.797184783208338e-15,62.01273356288664,2.1404165294342057e-15,-5.088150350167735e-16,-2.4682700268729263e-19
1,1.726200172059879e-14,60.936839486760995,2.751613624226445e-15,-4.99333332179532e-16,1.380884274495477e-19
2,-4.4917721912109144e-14,61.75393454845406,2.71874970008052e-15,-6.041448732005904e-16,1.0473760916146436e-19
3,4.491772191211041e-14,61.75393454845581,3.034502505831652e-15,-3.8888817855661827e-16,1.8190942440959908e-19
4,5.3530282618708145e-14,56.38263741398887,1.3137243907364164e-14,4.881175569922416e-16,-2.4835113978607557e-18
5,5.340715678166034e-14,56.25295083123703,6.789399708735699e-15,-2.2885734533459427e-15,-4.079130257249685e-18
6,3.516160859322202e-14,48.34100179730674,1.1216041796282919e-14,-8.251293204299079e-16,2.393171852224876e-18
7,3.494456777238576e-14,48.04260900101821,9.024191887219584e-15,-1.7117038530905843e-15,1.7192154744321277e-18
8,2.879103781637136e-15,47.019332980606,6.6071007933557e-15,-2.150517771389489e-16,6.338315853581254e-19
9,3.790923360994331e-14,52.1185009273452,9.289543707219967e-15,-8.888441875966671e-16,-3.3604536495010263e-16
10,3.7909233609943003e-14,52.118500927344776,9.024633740366706e-15,-2.7811780486843973e-15,1.2326106249223895e-16
11,9.596193235929815e-14,52.22164640349286,8.822479065267058e-15,1.0984844847000818e-15,4.5407853078610615e-17
12,-1.4793188449910235e-14,52.221646403492365,9.0007792476706e-15,-2.6801722019907393e-15,-6.267335846475054e-17
13,2.615639076479765e-15,42.71662781956193,5.6726938192967025e-15,-1.9448702108740455e-16,-2.123828884724216e-19
14,-2.2538038094684965e-14,44.60137926687243,4.81612460593921e-15,-2.993501463268944e-16,8.151213014989819e-19
15,4.234502937153377e-14,44.60137926687292,4.6850877304761424e-15,-1.0031682840445841e-16,-2.1750838284173746e-19
16,1.5348408718368445e-14,30.373548731926174,6.27383832797027e-15,-2.9491363051951197e-16,-1.9903294784886425e-18
17,1.4513691790775856e-14,28.72169571297085,7.745834487643683e-15,-3.568105114485059e-16,8.451899888495322e-19
18,2.7268686945502892e-14,28.721695712970725,7.47012698081e-15,-3.0553791308530857e-16,3.7174158472623106e-19
19,1.966221488338003e-14,27.03207285003816,7.793271153179452e-15,-2.8762807727708206e-16,-2.4775924746610855e-18
20,7.482507672048253e-15,26.414107491714795,1.4431032347210837e-14,-5.850346913477747e-16,-5.508062723920432e-18
21,7.469616978899482e-15,26.368601871219898,1.3432234419231302e-14,-4.83007107316515e-16,-4.4735999085683685e-18
22,1.5380908720641273e-15,25.11893017864426,1.2328423536882708e-14,-1.1625430822552672e-16,-2.9461959625310724e-18
23,7.209549453772098e-15,25.450533776284217,1.5853015320902567e-14,-3.4109677972751773e-16,1.1763646511026927e-16
24,7.209549453772072e-15,25.450533776284125,1.5869102110258436e-14,-1.0616406029024389e-15,-1.0559229849246846e-16
25,7.18158020045827e-15,25.351799114607324,1.4310779020500447e-14,-3.168932367761997e-16,-1.4023722320203512e-18
26,7.181580200458248e-15,25.351799114607246,1.4035979795458287e-14,-6.261223076874057e-16,-2.4537005926017732e-17
27,6.899270318778379e-15,24.35521295826802,1.2022585334688094e-14,-1.3855155804702018e-16,-1.6029229052704399e-18
28,6.8205099189760555e-15,24.07717974298105,1.8620701169420792e-14,-7.933682477090744e-16,-2.5661293994626698e-18
29,6.797940878355813e-15,23.997508449471397,1.7976431121550315e-14,-3.9514257239037e-16,-2.142052694056807e-18
30,1.2504491261829534e-14,24.745612504740375,1.5814966593493923e-14,-6.133450274363114e-17,-1.7268470621840772e-18
31,-7.009861509586518e-15,24.74561250474029,1.3522000382519257e-14,-2.345842924344208e-16,-1.1368687620867557e-18
32,6.608818604393047e-15,23.32988520169428,2.2397005157143333e-14,-1.2642311188839712e-16,-1.4591649404464878e-17
33,6.584150665024847e-15,23.242804555655685,1.8095452805005377e-14,-6.820678139725993e-16,-1.5041005689234268e-18
34,1.1081272348661218e-14,21.92915056340682,1.377316309218949e-14,-1.1729112136750083e-16,-1.7848168976203322e-18
35,-1.336957480380226e-15,21.834172617134474,1.4999078393714225e-14,-8.913084496075521e-17,-2.721195492603003e-18
36,-6.145368108805869e-15,21.693851970046797,1.648015565558448e-14,-9.609029447394668e-17,1.61190434106388e-17
37,6.104793428709189e-15,21.5506187107587,1.6753621315988676e-14,-5.1147085456539e-17,7.603801157596915e-19
38,0.017273007287268178,22.148946392236258,1.56656074837968e-14,-2.1119222945010813e-05,-5.480239495696151e-05
39,0.017273007287268112,22.148946392236173,1.845780350688841e-14,-2.1119222945679115e-05,-5.4802394956905446e-05
40,-0.017273007287263244,22.148946392236237,1.660692163646633e-14,2.1119222945217408e-05,5.480239495697348e-05
41,-0.017273007287268095,22.14894639223615,1.6997686400548287e-14,2.1119222945601486e-05,5.480239495691171e-05
42,6.122975624189872e-15,21.61480393941623,1.588373100674033e-14,-1.6381627492129323e-16,-1.0686278562382015e-16
43,6.1233178647186195e-15,21.616012087608063,1.453639185827997e-14,-4.729890340683355e-16,-2.453982714920266e-18
44,2.576815398712238e-14,21.996701510095924,1.7019832386695417e-14,-1.3693778370352933e-15,-2.935816195183405e-17
45,-1.1115407297733115e-14,21.996701510095924,1.833415246742684e-14,7.668257034128961e-16,-6.0154162331632274e-18
46,-5.987215168928058e-15,21.135554012041542,1.466346097793962e-14,-1.7011883828038253e-16,-4.9678945577607745e-18
47,5.987215168928043e-15,21.13555401204149,1.4386161433214e-14,-6.497907375742958e-17,-1.4802727933881451e-18
48,5.406362433158933e-15,19.085077450984787,2.1234558691127982e-14,-6.752791455281549e-17,-1.6112037679580715e-18
49,1.1785529358407895e-15,19.247230085627038,3.8019512035865124e-14,-1.119074518923964e-16,-2.7345441269951646e-18
50,9.726040136369182e-15,19.247230085626896,2.1343211995226012e-14,-2.4559243849605608e-17,-9.80094047770193e-19
51,1.150878983628474e-15,18.795280148198824,2.636929662094077e-14,-9.561520727016406e-17,-2.1694299575753384e-18
52,5.170466545978755e-15,18.252338001333815,1.824163517218942e-14,-3.3775040359717316e-17,-9.837644619368802e-19
