profile,label,order,harmonics,grid,beta_um_inv,beta_reference_um_inv,relative_error,selected_kz_imag,minimum_jacobian,elapsed_s,revision
identity,matched coordinates (no ASR),6,169,1024,25.558678206117165,25.562067938661734,0.00013260791547475836,7.741183878197747e-17,0.011858962778146465,17.21801114617847,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),7,225,1024,25.560191485728343,25.562067938661734,7.340771247044131e-05,7.032538254749703e-17,0.011858962778146465,14.039836243959144,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),8,289,1024,25.560727946895824,25.562067938661734,5.242110181091775e-05,2.1147973410618622e-17,0.011858962778146465,52.52890726621263,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),9,361,1024,24.917387173271592,25.562067938661734,0.025220211719063745,1.3255238768402453e-16,0.011858962778146465,71.69814693904482,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),10,441,1024,25.56149241665236,25.562067938661734,2.2514688981956077e-05,3.327229827953552e-16,0.011858962778146465,80.46779533312656,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),11,529,1024,25.56176321802623,25.562067938661734,1.1920813145271936e-05,8.481269822976728e-17,0.011858962778146465,104.86956394300796,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),12,625,1024,24.865268696511066,25.562067938661734,0.027259110797400843,5.415755678805829e-17,0.011858962778146465,132.18262342805974,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),13,729,1024,24.998511841365485,25.562067938661734,0.02204657692986922,3.015283515656231e-17,0.011858962778146465,168.50980626884848,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),14,841,1024,24.99859677552973,25.562067938661734,0.02204325426581677,3.2324203544122007e-18,0.011858962778146465,196.6119644830469,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),15,961,1024,24.998663821388465,25.562067938661734,0.022040631400605082,1.6759055025345537e-16,0.011858962778146465,233.28791502001695,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,6,169,256,24.911391981576653,25.562067938661734,0.025454746409657947,7.794726863116537e-17,1.2302054877744335e-06,4.972282100003213,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,7,225,256,25.561893360468932,25.562067938661734,6.829580189715578e-06,2.381241352483562e-16,1.2302054877744335e-06,13.072949012974277,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,8,289,256,25.562078180211863,25.562067938661734,4.006542098089483e-07,2.0618201038710158e-16,1.2302054877744335e-06,45.66503225779161,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,9,361,256,24.866032000371455,25.562067938661734,0.027229249994972005,3.964642498220459e-16,1.2302054877744335e-06,58.29484227090143,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,10,441,256,25.562114230533425,25.562067938661734,1.8109595749660201e-06,3.4610406038536546e-16,1.2302054877744335e-06,67.67545371316373,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,11,529,256,25.56211127474526,25.562067938661734,1.695327765727228e-06,4.635785713352482e-17,1.2302054877744335e-06,86.36066389200278,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,12,625,256,25.562111845455583,25.562067938661734,1.7176542193020339e-06,1.0132855316980842e-16,1.2302054877744335e-06,113.54621243500151,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,13,729,256,25.562111320612466,25.562067938661734,1.6971221121764302e-06,2.5962000416201243e-17,1.2302054877744335e-06,130.24982282100245,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,14,841,256,24.921418102815576,25.562067938661734,0.025062519878417122,7.116786386036319e-16,1.2302054877744335e-06,153.90918453596532,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,15,961,256,25.562110879560578,25.562067938661734,1.6798679569607344e-06,4.636661977387119e-16,1.2302054877744335e-06,176.89450312708504,weiss2009-v1-fixed-interface-eq41
