profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision
identity,matched coordinates (no ASR),619.5,6,169,1024,4.0,0.0,0.12638954515742162,0.8731441886039405,0.0004662662386378802,0.046214733600083456,0.777378502007283,0.9995337337613621,,0.011858962778146465,13.253817833028734,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,7,225,1024,4.0,0.0,0.12609069578860915,0.8733693583922769,0.000539945819113874,0.04614378094866171,0.7779442051792889,0.999460054180886,,0.011858962778146465,14.02945752791129,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,8,289,1024,4.0,0.0,0.12635457179483559,0.8733522065584602,0.00029322164670420037,0.04619824939722232,0.7777241427883295,0.9997067783532958,,0.011858962778146465,51.55340968584642,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,9,361,1024,4.0,0.0,0.1262958851491283,0.8734447525056162,0.0002593623452555871,0.046182426585815464,0.777887690575402,0.9997406376547444,,0.011858962778146465,66.4181506189052,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,10,441,1024,4.0,0.0,0.12642481851237844,0.8733829536497723,0.00019222783784933473,0.04622766271537958,0.7777478617249899,0.9998077721621507,,0.011858962778146465,85.58817920903675,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,11,529,1024,4.0,0.0,0.12640687033513018,0.8734400598308831,0.00015306983398666318,0.04622203049649475,0.7778269305364736,0.9998469301660133,,0.011858962778146465,106.05574941309169,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,12,625,1024,4.0,0.0,0.12647574492542124,0.8733954816936698,0.00012877338090899748,0.04624739174174786,0.7777423087680323,0.999871226619091,,0.011858962778146465,134.9688671969343,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,13,729,1024,4.0,0.0,0.12647213530114496,0.8734241046999952,0.00010375999885980924,0.04624896415531751,0.7777811020349739,0.9998962400011402,,0.011858962778146465,168.42382523906417,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,14,841,1024,4.0,0.0,0.1265103367657976,0.8734023717809422,8.7291453260252e-05,0.046261036010044644,0.7777348969391282,0.9999127085467397,,0.011858962778146465,197.55884767789394,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,15,961,1024,4.0,0.0,0.12651222397481693,0.8734117535378123,7.602248737081929e-05,0.046265888468801475,0.7777501642298902,0.9999239775126292,,0.011858962778146465,231.45912402193062,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,6,169,256,4.0,0.0,0.11379484760473091,0.8868399930086659,-0.0006348406133968032,0.042167791295700315,0.8010718240291037,1.000634840613397,,1.2302054877744335e-06,10.293175472179428,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,7,225,256,4.0,0.0,0.11412012294974563,0.88392470661812,0.0019551704321344454,0.04745366128090577,0.8030690991268697,0.9980448295678656,,1.2302054877744335e-06,12.977987495949492,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,8,289,256,4.0,0.0,0.1287796015275436,0.8728698053463824,-0.001649406873926007,0.04941147477216102,0.7780079598893366,1.001649406873926,,1.2302054877744335e-06,45.5510197179392,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,9,361,256,4.0,0.0,0.12755917152985038,0.87165940866162,0.0007814198085296375,0.04764284756804957,0.7762971393108175,0.9992185801914704,,1.2302054877744335e-06,58.394272283883765,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,10,441,256,4.0,0.0,0.12748473593940993,0.8798765390270827,-0.007361274966492637,0.0461594501652229,0.7830398090318237,1.0073612749664926,,1.2302054877744335e-06,65.35296248202212,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,11,529,256,4.0,0.0,0.2026485480876237,0.9111196484677092,-0.11376819655533288,0.06950687150922844,0.7631617953794018,1.113768196555333,,1.2302054877744335e-06,86.34264718811028,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,12,625,256,4.0,0.0,0.1270450074803228,0.8715178298056427,0.00143716271403449,0.04652703033609438,0.7756142474096469,0.9985628372859655,,1.2302054877744335e-06,112.77020073286258,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,13,729,256,4.0,0.0,0.12692596579165022,0.8754211335047757,-0.0023470992964258475,0.046428444478051535,0.7795478911574448,1.0023470992964258,,1.2302054877744335e-06,127.89761460688896,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,14,841,256,4.0,0.0,0.16968500040013515,0.8968144842824401,-0.06649948468257527,0.062064409412177335,0.7738536429166374,1.0664994846825753,,1.2302054877744335e-06,153.87436914094724,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,15,961,256,4.0,0.0,0.1265663206736597,0.8733988486802323,3.483064610798614e-05,0.04629261833545519,0.7777034416766839,0.999965169353892,,1.2302054877744335e-06,180.8437709719874,weiss2009-v1-fixed-interface-eq41
