wavelength_nm,order,slices,grid,epsilon_gold_real,epsilon_gold_imag,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,passivity_warning,reduced_dimension,full_dimension,symmetry_reduction,symmetry_irrep,runtime_seconds
400.0,4,12,128,-1.0611633694991678,4.9206873818569425,5.0101561936769266e-05,0.0,0.9999498984380633,0.9757937358311599,0.024156162606903335,0.024156162606903335,False,21,162,D6-E1-source-row,E1,23.94270529897767
550.0,4,12,128,-5.371371338856619,2.3581635829859637,0.026140523275099824,0.0,0.9738594767249001,0.8809646647262017,0.09289481199869848,0.09289481199869848,False,21,162,D6-E1-source-row,E1,1.1648815409862436
700.0,4,12,128,-13.754263491271207,1.9104862668338753,0.33229807021220853,0.0,0.6677019297877915,0.5792216330488712,0.08848029673892031,0.08848029673892031,False,21,162,D6-E1-source-row,E1,1.1138119499955792
400.0,4,16,128,-1.0611633694991678,4.9206873818569425,5.759654624375469e-05,0.0,0.9999424034537563,0.9744520508373105,0.025490352616445847,0.025490352616445847,False,21,162,D6-E1-source-row,E1,1.485082284983946
550.0,4,16,128,-5.371371338856619,2.3581635829859637,0.02858382469068347,0.0,0.9714161753093166,0.865385910404713,0.10603026490460356,0.10603026490460356,False,21,162,D6-E1-source-row,E1,1.4966923629981466
700.0,4,16,128,-13.754263491271207,1.9104862668338753,0.3647964234465608,0.0,0.6352035765534392,0.5393043605295758,0.09589921602386339,0.09589921602386339,False,21,162,D6-E1-source-row,E1,1.4850988000107463
400.0,4,24,128,-1.0611633694991678,4.9206873818569425,2.3423573330886655e-05,0.0,0.9999765764266692,0.9733878892573375,0.026588687169331562,0.026588687169331562,False,21,162,D6-E1-source-row,E1,2.246027340996079
550.0,4,24,128,-5.371371338856619,2.3581635829859637,0.033963457463673026,0.0,0.966036542536327,0.85143983330905,0.11459670922727697,0.11459670922727697,False,21,162,D6-E1-source-row,E1,2.264871677994961
700.0,4,24,128,-13.754263491271207,1.9104862668338753,0.44192393360978927,0.0,0.5580760663902107,0.4525210086269672,0.1055550577632435,0.1055550577632435,False,21,162,D6-E1-source-row,E1,2.2342877479968593
400.0,4,32,128,-1.0611633694991678,4.9206873818569425,3.03747998564323e-05,0.0,0.9999696252001435,0.9729158983223773,0.027053726877766145,0.027053726877766145,False,21,162,D6-E1-source-row,E1,3.052457195997704
550.0,4,32,128,-5.371371338856619,2.3581635829859637,0.036425299948501896,0.0,0.9635747000514981,0.8455220298610913,0.11805267019040691,0.11805267019040691,False,21,162,D6-E1-source-row,E1,2.989851559017552
700.0,4,32,128,-13.754263491271207,1.9104862668338753,0.4487258454687562,0.0,0.5512741545312438,0.44311644620485924,0.10815770832638458,0.10815770832638458,False,21,162,D6-E1-source-row,E1,3.1569575410103425
400.0,4,48,128,-1.0611633694991678,4.9206873818569425,2.9232717520694902e-05,0.0,0.9999707672824794,0.9725377773911288,0.027432989891350585,0.027432989891350585,False,21,162,D6-E1-source-row,E1,4.490772268007277
550.0,4,48,128,-5.371371338856619,2.3581635829859637,0.039335571008033775,0.0,0.9606644289919662,0.8393854107386037,0.12127901825336249,0.12127901825336249,False,21,162,D6-E1-source-row,E1,4.498752972984221
700.0,4,48,128,-13.754263491271207,1.9104862668338753,0.48951471779779243,0.0,0.5104852822022076,0.399201382118305,0.11128390008390257,0.11128390008390257,False,21,162,D6-E1-source-row,E1,4.540254884021124
