order,wavelength_nm,slices,grid,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,runtime_seconds,passivity_warning,reduced_dimension,full_dimension
4,400.0,100,256,1.1247992258404234e-05,0.0,0.9999887520077416,0.9636076823069497,0.03638106970079186,0.03638106970079186,26.13015318918042,False,21,162
4,550.0,100,256,0.07856624190815387,0.0,0.9214337580918461,0.7828049946261761,0.13862876346566996,0.13862876346566996,9.468975916039199,False,21,162
4,700.0,100,256,0.7078162546336935,0.0,0.29218374536630654,0.2370256231815115,0.05515812218479504,0.05515812218479504,9.311378948856145,False,21,162
6,400.0,100,256,0.000131403611182592,0.0,0.9998685963888174,0.9623991419459125,0.03746945444290494,0.03746945444290494,15.782113987021148,False,43,338
6,550.0,100,256,0.07614584377626547,0.0,0.9238541562237346,0.7811535299883461,0.14270062623538848,0.14270062623538848,15.616412681993097,False,43,338
6,700.0,100,256,0.744676439537786,0.0,0.25532356046221405,0.20054850988400635,0.05477505057820769,0.05477505057820769,15.450200143037364,False,43,338
8,400.0,100,256,0.00022499274665712947,0.0,0.9997750072533429,0.9617032852864934,0.038071721966849444,0.038071721966849444,25.990890093147755,False,73,578
8,550.0,100,256,0.07453381383352563,0.0,0.9254661861664744,0.7820309938053258,0.14343519236114854,0.14343519236114854,24.7086193501018,False,73,578
8,700.0,100,256,0.7545366773045719,0.0,0.24546332269542814,0.19150266685862394,0.0539606558368042,0.0539606558368042,25.315633826889098,False,73,578
10,400.0,100,256,0.0002483526197173741,0.0,0.9997516473802827,0.9613611415275368,0.03839050585274588,0.03839050585274588,38.072689238004386,False,111,882
10,550.0,100,256,0.0734236978879717,0.0,0.9265763021120283,0.7822518925244017,0.1443244095876266,0.1443244095876266,37.89346550614573,False,111,882
10,700.0,100,256,0.7486429810872097,0.0,0.2513570189127903,0.19788291118618087,0.05347410772660941,0.05347410772660941,37.08968723099679,False,111,882
12,400.0,100,256,0.00025947702590536074,0.0,0.9997405229740947,0.9611584414002666,0.03858208157382806,0.03858208157382806,53.62936229701154,False,157,1250
12,550.0,100,256,0.07056088458711789,0.0,0.9294391154128822,0.7833948224522215,0.14604429296066068,0.14604429296066068,53.392497804015875,False,157,1250
12,700.0,100,256,0.753480155139973,0.0,0.24651984486002698,0.19228008544869332,0.05423975941133366,0.05423975941133366,55.1598606989719,False,157,1250
14,400.0,100,256,0.0002696791037306234,0.0,0.9997303208962693,0.960949973857673,0.03878034703859631,0.03878034703859631,74.55233580409549,False,211,1682
14,550.0,100,256,0.06994120334311701,0.0,0.930058796656883,0.7800439008430862,0.15001489581379682,0.15001489581379682,74.18312813807279,False,211,1682
14,700.0,100,256,0.7570698590099704,0.0,0.24293014099002963,0.18830351245822433,0.0546266285318053,0.0546266285318053,73.73625856707804,False,211,1682
16,400.0,100,256,0.0002795305605357787,0.0,0.9997204694394642,0.960794855337537,0.038925614101927325,0.038925614101927325,103.88885425007902,False,273,2178
16,550.0,100,256,0.07029973382053138,0.0,0.9297002661794687,0.7780657674110724,0.1516344987683963,0.1516344987683963,102.92491932213306,False,273,2178
16,700.0,100,256,0.7670142271608775,0.0,0.23298577283912247,0.17807536605520752,0.05491040678391494,0.05491040678391494,102.29765687091276,False,273,2178
18,400.0,100,256,0.0002897864624878799,0.0,0.9997102135375121,0.9607439279185037,0.0389662856190084,0.0389662856190084,134.7172950389795,False,343,2738
18,550.0,100,256,0.07073642082543012,0.0,0.9292635791745699,0.7773267126871868,0.15193686648738317,0.15193686648738317,135.49074708018452,False,343,2738
18,700.0,100,256,0.7664830300062392,0.0,0.23351696999376081,0.17908246647522152,0.05443450351853929,0.05443450351853929,134.98451543808915,False,343,2738
20,400.0,100,256,0.00029894924329774107,0.0,0.9997010507567022,0.9607577583798568,0.038943292376845434,0.038943292376845434,174.3180329289753,False,421,3362
20,550.0,100,256,0.07143338000900486,0.0,0.9285666199909951,0.7762148516207514,0.15235176837024372,0.15235176837024372,172.71700408891775,False,421,3362
20,700.0,100,256,0.7647570315266071,0.0,0.23524296847339288,0.18117554795264082,0.05406742052075206,0.05406742052075206,172.922872858122,False,421,3362
