wavelength_nm,order,slices,grid,reflectance,transmittance,absorptance,asr_layers,coalesced_raster_layers,top_cap_layers,minimum_asr_jacobian,minimum_asr_effective_slope,minimum_raster_air_fraction,passivity_warning,runtime_seconds
400.0,4,48,384,0.01217554142401453,0.016055604624792517,0.971768853951193,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,6.582165490981424
550.0,4,48,384,0.023913367526754405,0.040652584305258685,0.9354340481679869,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,4.01985254502506
700.0,4,48,384,0.3227513603968542,0.02398220652488371,0.6532664330782622,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,4.046012733015232
400.0,6,48,384,0.010010744872547064,0.013150863293443725,0.9768383918340092,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,8.745287366007688
550.0,6,48,384,0.017039128330983932,0.02661870120745065,0.9563421704615653,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,8.362386460008565
700.0,6,48,384,0.24166335185821328,0.0029480776108045726,0.7553885705309821,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,8.684682468010578
400.0,8,48,384,0.010640198192591517,0.014200812264545984,0.9751589895428625,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,25.3505440550216
550.0,8,48,384,0.01504250025315641,0.02905040389546259,0.955907095851381,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,24.14681688597193
700.0,8,48,384,0.29609963525821115,0.012585143228280266,0.6913152215135085,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,23.73440231900895
400.0,10,48,384,0.025217100549561357,0.015632302310900313,0.9591505971395383,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,52.338458633981645
550.0,10,48,384,0.07110673637179725,0.08824539658565274,0.84064786704255,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,50.85309001200949
700.0,10,48,384,0.6286194299187485,0.16310896287135693,0.20827160720989454,44,4,1,0.0008146674944258962,0.03,0.043023003472222224,False,51.3256322730158
