wavelength_nm,order,profile_slices,total_pattern_layers,grid,epsilon_gold_real,epsilon_gold_imag,epsilon_pmma,reflectance,transmittance,absorptance,passivity_warning,symmetry_reduction,symmetry_irrep,reduced_dimension,full_dimension,runtime_seconds
400.0,10,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.001729746944086343,0.09362327312370199,0.9046469799322117,False,D6-E1-source-row,E1,111,882,14.609197065001354
550.0,10,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.0048349178150165146,0.14906400601542316,0.8461010761695603,False,D6-E1-source-row,E1,111,882,12.407825344009325
700.0,10,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.039833055860282705,0.12117542171239477,0.8389915224273224,False,D6-E1-source-row,E1,111,882,12.376046795019647
400.0,12,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.0016442347172191903,0.0923001810110462,0.9060555842717346,False,D6-E1-source-row,E1,157,1250,18.693148755992297
550.0,12,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.004524458978701885,0.15274763113860917,0.842727909882689,False,D6-E1-source-row,E1,157,1250,18.503512844006764
700.0,12,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.08489284085018203,0.07701929163782555,0.8380878675119925,False,D6-E1-source-row,E1,157,1250,18.607301815995015
400.0,14,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.0017522707063804017,0.09200236884006067,0.906245360453559,False,D6-E1-source-row,E1,211,1682,25.66493755101692
550.0,14,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.00469392741996768,0.14927936553029225,0.84602670704974,False,D6-E1-source-row,E1,211,1682,25.53759788701427
700.0,14,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.08952032184642428,0.04989723674373221,0.8605824414098435,False,D6-E1-source-row,E1,211,1682,25.32835299600265
400.0,16,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.0017934295581489347,0.09146049149441174,0.9067460789474393,False,D6-E1-source-row,E1,273,2178,36.00079093402019
550.0,16,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.004298163731074302,0.14580128986639423,0.8499005464025315,False,D6-E1-source-row,E1,273,2178,35.33993613801431
700.0,16,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.09786633283635819,0.05723386102299088,0.844899806140651,False,D6-E1-source-row,E1,273,2178,35.51611303599202
400.0,18,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.0018516981319717974,0.09065428110749109,0.9074940207605371,False,D6-E1-source-row,E1,343,2738,47.353068626020104
550.0,18,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.004149686160927867,0.14387865933338959,0.8519716545056826,False,D6-E1-source-row,E1,343,2738,46.96770111299702
700.0,18,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.09504735793924926,0.06343791138305996,0.8415147306776908,False,D6-E1-source-row,E1,343,2738,46.861449453019304
400.0,20,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.0018516575515994675,0.09056806398992048,0.9075802784584801,False,D6-E1-source-row,E1,421,3362,62.45821071599494
550.0,20,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.004600513859290543,0.1430888649342626,0.8523106212064469,False,D6-E1-source-row,E1,421,3362,62.50246617398807
700.0,20,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.12009612674204824,0.05266718355522395,0.8272366897027278,False,D6-E1-source-row,E1,421,3362,62.33552139799576
400.0,22,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.0018747325546243023,0.09015653138087439,0.9079687360645012,False,D6-E1-source-row,E1,507,4050,88.36710745599703
550.0,22,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.004237286946875818,0.14387243422636192,0.8518902788267622,False,D6-E1-source-row,E1,507,4050,88.21952849099762
700.0,22,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.12226431220304461,0.04256382445169027,0.8351718633452652,False,D6-E1-source-row,E1,507,4050,86.88146467099432
